building_name,address,porter_phone,management_name
Edificio 001,CL 42 A 87 I 10 SUR,+57 300 100001,Aurora Gestion
Edificio 002,DG 4 6 B 25 ESTE,+57 300 100002,Aurora Gestion
Edificio 003,CR. 64A NO.2B-21,+57 300 100003,Aurora Gestion
Edificio 004,CL 84 90 15,+57 300 100004,Aurora Gestion
Edificio 005,CLL. 4 SUR NO.15A-13,+57 300 100005,Aurora Gestion
Edificio 006,AV FERROCARRIL OCC 96 A 28,+57 300 100006,Aurora Gestion
Edificio 007,KR 85 8 A 36,+57 300 100007,Aurora Gestion
Edificio 008,CR. 105C NO.16F-24,+57 300 100008,Aurora Gestion
Edificio 009,CL 86 B 99 62 IN 101,+57 300 100009,Aurora Gestion
Edificio 010,CR. 19 NO.3-14 Y 3-18,+57 300 100010,Aurora Gestion
Edificio 011,KR 76 B 52 A 80,+57 300 100011,Aurora Gestion
Edificio 012,CL 24 94 31,+57 300 100012,Aurora Gestion
Edificio 013,KR 19 56 81 SUR,+57 300 100013,Aurora Gestion
Edificio 014,CL 9 SUR 4 54,+57 300 100014,Aurora Gestion
Edificio 015,KR 98 130 C 61,+57 300 100015,Aurora Gestion
Edificio 016,KR 62 100 54,+57 300 100016,Aurora Gestion
Edificio 017,CL 143 B 146 A 21,+57 300 100017,Aurora Gestion
Edificio 018,TR. 87A NO.81-68,+57 300 100018,Aurora Gestion
Edificio 019,KR 73 A 10 B 82,+57 300 100019,Aurora Gestion
Edificio 020,CL 38 SUR 29 16,+57 300 100020,Aurora Gestion
Edificio 021,DG 76 68 D 01,+57 300 100021,Aurora Gestion
Edificio 022,CL 20 SUR 63 15,+57 300 100022,Aurora Gestion
Edificio 023,CL 97 67 A 05,+57 300 100023,Aurora Gestion
Edificio 024,KR 87 B 63 A 18 SUR,+57 300 100024,Aurora Gestion
Edificio 025,KR 95 14 A 93,+57 300 100025,Aurora Gestion
Edificio 026,CL 55 10 25,+57 300 100026,Aurora Gestion
Edificio 027,KR 23 C 63 B 04 SUR,+57 300 100027,Aurora Gestion
Edificio 028,CL 81 SUR 42 09,+57 300 100028,Aurora Gestion
Edificio 029,TV 126 132 96,+57 300 100029,Aurora Gestion
Edificio 030,KR 10 18 48 SUR,+57 300 100030,Aurora Gestion
Edificio 031,CL 69 A 9 62,+57 300 100031,Aurora Gestion
Edificio 032,AV CARACAS 38 27,+57 300 100032,Aurora Gestion
Edificio 033,KR 10 13 50 SUR,+57 300 100033,Aurora Gestion
Edificio 034,KR 18 80 53,+57 300 100034,Aurora Gestion
Edificio 035,CR. 19 NO.48-36,+57 300 100035,Aurora Gestion
Edificio 036,CLL. 7 NO. 3-27,+57 300 100036,Aurora Gestion
Edificio 037,TV 74 81 C 05,+57 300 100037,Aurora Gestion
Edificio 038,CL 139 A 111 04,+57 300 100038,Aurora Gestion
Edificio 039,CL 38 B SUR 75 A 29,+57 300 100039,Aurora Gestion
Edificio 040,TV 78 C 6 D 49,+57 300 100040,Aurora Gestion
Edificio 041,KR 16 61 41,+57 300 100041,Aurora Gestion
Edificio 042,AC 72 77 A 73,+57 300 100042,Aurora Gestion
Edificio 043,CL 48 P 5 G 03 SUR,+57 300 100043,Aurora Gestion
Edificio 044,KR 80 P 75 22 SUR,+57 300 100044,Aurora Gestion
Edificio 045,AV. CLL. 80 NO. 83-57,+57 300 100045,Aurora Gestion
Edificio 046,CL 18 SUR 13 89,+57 300 100046,Aurora Gestion
Edificio 047,KR 7 B BIS 132 11,+57 300 100047,Aurora Gestion
Edificio 048,KR 80 38 28 SUR,+57 300 100048,Aurora Gestion
Edificio 049,KR 18 18 68 SUR,+57 300 100049,Aurora Gestion
Edificio 050,KR 78 B 39 A 02 SUR,+57 300 100050,Aurora Gestion
